Word,Count
cure,55
voices,55
goodness,55
denied,55
undone,55
us'd,55
wings,55
wrath,55
visit,55
oxford,55
puck,55
summer,54
heavenly,54
teeth,54
perfect,54
thrust,54
anger,54
flies,54
gross,54
despair,54
traitors,54
freely,54
wench,54
supper,54
oliver,54
lands,54
reverend,54
humphrey,54
edward's,54
keeper,54
tybalt,54
womb,53
tomb,53
lovely,53
faces,53
public,53
puts,53
intend,53
brings,53
ransom,53
shore,53
blest,53
heed,53
protest,53
spoken,53
flight,53
deal,53
gallant,53
menas,53
romans,53
pound,53
charity,53
realm,53
gower,53
ferdinand,53
gon,53
quince,53
painted,52
counterfeit,52
lovers,52
vouchsafe,52
drops,52
sickness,52
plot,52
encounter,52
tidings,52
show'd,52
innocent,52
obedience,52
chiron,52
treasure,51
naked,51
sigh,51
lover,51
greatest,51
wake,51
knife,51
durst,51
vice,51
envy,51
credit,51
promis'd,51
wash,51
swore,51
meeting,51
ship,51
followers,51
girl,51
tree,51
knees,51
vengeance,51
ducats,51
sign,51
daughters,51
britain,51
doll,51
world's,50
merit,50
kindness,50
slow,50
sighs,50
blush,50
guess,50
rank,50
seest,50
appears,50
assure,50
angel,50
trick,50
modesty,50
touch'd,50
bought,50
fourth,50
ease,50
francis,50
suddenly,50
streets,50
tide,50
throat,50
return'd,50
an't,50
surrey,50
alonso,50
breed,49
chide,49
meant,49
doom,49
tyrant,49
outward,49
winds,49
bestow,49
early,49
party,49
civil,49
jealous,49
taught,49
divine,49
learned,49
desperate,49
sleeping,49
neighbour,49
rule,49
council,49
perchance,49
spake,49
deadly,49
mirth,49
intent,49
elbow,49
protector,49
reignier,49
constant,48
skill,48
number,48
plead,48
disgrace,48
smell,48
sail,48
wont,48
gifts,48
gown,48
success,48
estate,48
tailor,48
conduct,48
ignorant,48
ends,48
names,48
draws,48
challenge,48
stuff,48
execution,48
murther,48
henry's,48
don,48
bedford,48
alencon,48
constance,48
salerio,48
winter,47
sacred,47
sounds,47
strikes,47
graces,47
speaking,47
limbs,47
enjoy,47
loved,47
heart's,47
prize,47
fiery,47
main,47
contrary,47
thinking,47
devise,47
bow,47
cup,47
perforce,47
steward,47
virtues,47
fancy,47
forsooth,47
stranger,47
commission,47
fall'n,47
victory,47
highness',47
dread,47
raise,47
satisfied,47
loose,47
hollow,47
degree,47
messala,47
vincentio,47
image,46
abuse,46
frame,46
flowers,46
cease,46
frown,46
cost,46
slander,46
knowing,46
garments,46
burden,46
'i,46
dying,46
sees,46
mariana,46
contempt,46
kisses,46
window,46
beaten,46
hie,46
dogs,46
kinsman,46
dares,46
reputation,46
o'clock,46
quit,46
octavius,46
egypt,46
thieves,46
shortly,46
phebe,46
flood,46
north,46
horatio,46
brabantio,46
repair,45
burning,45
triumph,45
haply,45
account,45
shine,45
dreams,45
brains,45
bark,45
blessing,45
policy,45
lust,45
sides,45
ambition,45
attended,45
bend,45
behalf,45
play'd,45
drown'd,45
villains,45
ros,45
thisby,45
fenton,45
oberon,45
ratcliff,45
waste,44
warm,44
3,44
painter,44
fate,44
desert,44
weight,44
root,44
weeds,44
equal,44
unknown,44
bind,44
salt,44
offended,44
bade,44
serv'd,44
shot,44
tedious,44
tarry,44
undertake,44
disposition,44
parted,44
fear'd,44
octavia,44
think'st,44
silvius,44
mov'd,44
garden,44
iron,44
bodies,44
country's,44
liest,44
smiles,44
porter,44
damned,44
forces,44
laertes,44
davy,44
cromwell,44
lodovico,44
attending,43
numbers,43
star,43
flatter,43
drown,43
fortune's,43
greet,43
flower,43
faint,43
big,43
bred,43
runs,43
brows,43
advice,43
native,43
knaves,43
methought,43
fish,43
sleeps,43
soothsayer,43
iras,43
'the,43
custom,43
capitol,43
whore,43
yond,43
regard,43
prisoners,43
gent,43
bishop,43
tells,42
maiden,42
woes,42
west,42
dearly,42
mars,42
crave,42
finds,42
alike,42
weigh,42
maintain,42
render,42
bury,42
stomach,42
search,42
peril,42
seas,42
dar'st,42
tread,42
midnight,42
dagger,42
belike,42
odds,42
sirs,42
reverence,42
device,42
sheep,42
fatal,42
weapons,42
apt,42
mischief,42
hal,42
hugh,42
leonato,42
bassianus,42
perdita,42
fairest,41
substance,41
conceit,41
wrought,41
reign,41
sorrows,41
picture,41
solemn,41
edge,41
firm,41
debt,41
revolt,41
fits,41
season,41
monsieur,41
friendship,41
wish'd,41
practice,41
afraid,41
favours,41
pass'd,41
deceiv'd,41
sore,41
gaoler,41
armour,41
moe,41
lartius,41
nobles,41
servingman,41
sly,41
tempest,41
pembroke,41
padua,41
nature's,40
hill,40
bounty,40
barren,40
complexion,40
fierce,40
elder,40
dumb,40
apparel,40
grieve,40
glorious,40
ignorance,40
lean,40
ripe,40
figure,40
bird,40
mistake,40
commanded,40
cupid,40
y'are,40
hazard,40
displeasure,40
clothes,40
violent,40
purposes,40
villainy,40
drums,40
henceforth,40
sooth,40
pair,40
sends,40
bite,40
maids,40
possess'd,40
whoreson,40
countrymen,40
senate,40
murtherer,40
canterbury,40
lovell,40
milan,40
cinna,40
titania,40
timon's,40
beauteous,39
dwell,39
sky,39
pen,39
acquainted,39
object,39
sell,39
darkness,39
benefit,39
stain,39
entertain,39
prey,39
add,39
remains,39
commit,39
vantage,39
affections,39
fingers,39
east,39
habit,39
advise,39
wears,39
impossible,39
arm'd,39
sentence,39
proclaim,39
aim,39
deserv'd,39
chair,39
's,39
surely,39
dishonour,39
answer'd,39
utter,39
dolabella,39
crown'd,39
stroke,39
isle,39
staff,39
hateful,39
adam,39
cave,39
prologue,39
month,39
creatures,38
fairer,38
store,38
clock,38
eternal,38
hanging,38
stronger,38
twain,38
laws,38
appetite,38
suspect,38
sold,38
accuse,38
wounded,38
chaste,38
fathers,38
months,38
